t, y, yd
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.999003502790282383e-01,-1.989965369432767847e-02
2.000000000000000042e-02,9.996026642178078570e-01,-3.959739345450332543e-02
2.999999999999999889e-02,9.991090526770536329e-01,-5.909122127362263777e-02
4.000000000000000083e-02,9.984215282189621288e-01,-7.837932517876206040e-02
5.000000000000000278e-02,9.975421589385915500e-01,-9.745991212460963782e-02
5.999999999999999778e-02,9.964730283520930598e-01,-1.163312487366994219e-01
7.000000000000000666e-02,9.952162371411874542e-01,-1.349916612351942935e-01
8.000000000000000167e-02,9.937739029240304500e-01,-1.534395350706567185e-01
8.999999999999999667e-02,9.921481586335300085e-01,-1.716733134685478612e-01
1.000000000000000056e-01,9.903411541704085774e-01,-1.896915024688759221e-01
1.100000000000000006e-01,9.883550517825715476e-01,-2.074926588892611612e-01
1.199999999999999956e-01,9.861920287507532912e-01,-2.250753997859340494e-01
1.300000000000000044e-01,9.838542760115711605e-01,-2.424383995189842433e-01
1.400000000000000133e-01,9.813439971694595254e-01,-2.595803892048548778e-01
1.499999999999999944e-01,9.786634082926690681e-01,-2.765001565731450839e-01
1.600000000000000033e-01,9.758147359782147756e-01,-2.931965448498503046e-01
1.700000000000000122e-01,9.728002199584934173e-01,-3.096684542869397871e-01
1.799999999999999933e-01,9.696221114496068605e-01,-3.259148412390465155e-01
1.900000000000000022e-01,9.662826723646450455e-01,-3.419347177407375815e-01
2.000000000000000111e-01,9.627841735769389064e-01,-3.577271502503950318e-01
2.099999999999999922e-01,9.591288930585124550e-01,-3.732912582887752961e-01
2.200000000000000011e-01,9.553191178938645889e-01,-3.886262163480415643e-01
2.300000000000000100e-01,9.513571424189046777e-01,-4.037312525307300004e-01
2.399999999999999911e-01,9.472452674281306439e-01,-4.186056480902300980e-01
2.500000000000000000e-01,9.429858026309295704e-01,-4.332487378455070481e-01
2.600000000000000089e-01,9.385810663936761111e-01,-4.476599098831302026e-01
2.700000000000000178e-01,9.340333806587760579e-01,-4.618386039928665809e-01
2.800000000000000266e-01,9.293450725397186529e-01,-4.757843118562566920e-01
2.899999999999999800e-01,9.245184737629077443e-01,-4.894965766641372062e-01
2.999999999999999889e-01,9.195559210278816398e-01,-5.029749923292451408e-01
3.099999999999999978e-01,9.144597550284034870e-01,-5.162192032869709069e-01
3.200000000000000067e-01,9.092323193366692591e-01,-5.292289043562292683e-01
3.300000000000000155e-01,9.038759602474207844e-01,-5.420038401787394822e-01
3.400000000000000244e-01,8.983930262728951899e-01,-5.545438047907518264e-01
3.500000000000000333e-01,8.927858681620783887e-01,-5.668486404606195572e-01
3.599999999999999867e-01,8.870568379446195362e-01,-5.789182378920864069e-01
3.699999999999999956e-01,8.812082883091993946e-01,-5.907525359592534775e-01
3.800000000000000044e-01,8.752425722370547057e-01,-6.023515210842678158e-01
3.900000000000000133e-01,8.691620425950018491e-01,-6.137152266765156794e-01
